2017-03-19 19:00:43.588391,('Connection broken: IncompleteRead(8410 bytes read)', IncompleteRead(8410 bytes read))
2017-03-19 19:01:05.017002,('Connection broken: IncompleteRead(3530 bytes read)', IncompleteRead(3530 bytes read))
2017-03-19 19:01:29.728737,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:02:01.499472,('Connection broken: IncompleteRead(2458 bytes read)', IncompleteRead(2458 bytes read))
2017-03-19 19:02:26.637587,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:03:00.118832,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:03:24.491112,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:04:01.731844,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:04:40.269455,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:04:58.032521,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:05:21.432281,('Connection broken: IncompleteRead(2458 bytes read)', IncompleteRead(2458 bytes read))
2017-03-19 19:05:54.329225,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:06:25.663204,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:07:02.425255,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:07:41.881081,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:08:18.164357,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:08:41.972077,('Connection broken: IncompleteRead(4458 bytes read)', IncompleteRead(4458 bytes read))
2017-03-19 19:09:00.823006,('Connection broken: IncompleteRead(1482 bytes read)', IncompleteRead(1482 bytes read))
2017-03-19 19:09:26.033545,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:09:51.559000,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:10:06.502346,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:10:41.677159,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:11:10.768256,('Connection broken: IncompleteRead(1604 bytes read)', IncompleteRead(1604 bytes read))
2017-03-19 19:11:44.172683,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:12:16.163433,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:13:23.098464,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:13:45.965222,('Connection broken: IncompleteRead(1482 bytes read)', IncompleteRead(1482 bytes read))
2017-03-19 19:14:03.961661,('Connection broken: IncompleteRead(2458 bytes read)', IncompleteRead(2458 bytes read))
2017-03-19 19:14:39.473661,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:15:01.793757,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:15:20.818302,('Connection broken: IncompleteRead(4506 bytes read)', IncompleteRead(4506 bytes read))
2017-03-19 19:15:42.784496,('Connection broken: IncompleteRead(648 bytes read)', IncompleteRead(648 bytes read))
2017-03-19 19:15:59.486141,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:16:54.795271,('Connection broken: IncompleteRead(6833 bytes read)', IncompleteRead(6833 bytes read))
2017-03-19 19:17:10.297515,('Connection broken: IncompleteRead(2458 bytes read)', IncompleteRead(2458 bytes read))
2017-03-19 19:17:30.090895,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:17:48.024314,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:18:09.790948,('Connection broken: IncompleteRead(7434 bytes read)', IncompleteRead(7434 bytes read))
2017-03-19 19:18:27.157057,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:18:45.824333,('Connection broken: IncompleteRead(8602 bytes read)', IncompleteRead(8602 bytes read))
2017-03-19 19:19:08.931346,('Connection broken: IncompleteRead(4069 bytes read)', IncompleteRead(4069 bytes read))
2017-03-19 19:19:25.914503,('Connection broken: IncompleteRead(1482 bytes read)', IncompleteRead(1482 bytes read))
2017-03-19 19:19:58.332389,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:23:46.034740,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:29:52.654120,('Connection broken: IncompleteRead(5604 bytes read)', IncompleteRead(5604 bytes read))
2017-03-19 19:30:07.579814,('Connection broken: IncompleteRead(0 bytes read)', IncompleteRead(0 bytes read))
2017-03-19 19:30:49.106313,('Connection broken: IncompleteRead(4321 bytes read)', IncompleteRead(4321 bytes read))
